timestamp,profile,account,pair,score_final,score_s,score_r,score_a,score_x,score_m,action_taken
2026-09-17T09:11:48.098528+00:00,profile4,a/c4,EURUSD=X,66.7,88.2,19.1,100.0,50.0,35.7,NO_SLOT_MAX_OPEN
2026-09-17T09:11:48.638138+00:00,profile4,a/c4,AUDJPY=X,43.0,28.5,0.0,98.1,57.1,54.6,NO_SLOT_MAX_OPEN
2026-09-17T09:11:49.178499+00:00,profile4,a/c4,GBPNZD=X,32.4,22.3,0.0,61.0,50.0,43.6,NO_SLOT_MAX_OPEN
2026-09-17T09:16:00.291960+00:00,profile4,a/c4,EURUSD=X,66.3,88.2,16.5,100.0,49.6,36.7,NO_SLOT_MAX_OPEN
2026-09-17T09:16:00.888046+00:00,profile4,a/c4,AUDJPY=X,45.5,28.5,7.3,96.2,67.0,51.4,NO_SLOT_MAX_OPEN
2026-09-17T09:16:01.417045+00:00,profile4,a/c4,GBPNZD=X,30.6,22.3,0.0,58.4,40.7,48.3,NO_SLOT_MAX_OPEN
2026-09-17T09:20:55.782042+00:00,profile4,a/c4,EURUSD=X,64.9,88.2,5.8,100.0,50.0,37.0,NO_SLOT_MAX_OPEN
2026-09-17T09:20:56.367164+00:00,profile4,a/c4,AUDJPY=X,46.5,28.5,17.6,100.0,62.1,50.5,NO_SLOT_MAX_OPEN
2026-09-17T09:20:56.970494+00:00,profile4,a/c4,GBPNZD=X,31.6,22.3,0.0,57.8,45.6,48.5,NO_SLOT_MAX_OPEN
2026-09-17T09:42:32.426759+00:00,profile4,a/c4,EURUSD=X,65.3,88.2,15.0,95.5,50.0,34.6,NO_SLOT_MAX_OPEN
2026-09-17T09:42:32.954450+00:00,profile4,a/c4,AUDJPY=X,45.6,28.5,7.3,98.7,64.6,53.9,NO_SLOT_MAX_OPEN
2026-09-17T09:42:33.453777+00:00,profile4,a/c4,GBPNZD=X,31.6,22.3,0.0,52.6,50.0,48.2,NO_SLOT_MAX_OPEN
2026-09-17T13:07:26.830760+00:00,profile4,a/c4,GBPUSD=X,50.9,79.6,0.0,38.2,45.5,38.4,NO_CONSENSUS
2026-09-17T13:07:28.186273+00:00,profile4,a/c4,NZDJPY=X,24.5,7.5,0.0,27.2,54.9,50.2,NO_CONSENSUS
2026-09-17T13:07:28.528897+00:00,profile4,a/c4,NZDJPY=X,24.5,7.5,0.0,27.2,54.9,50.2,NO_CONSENSUS
2026-09-17T13:07:27.350962+00:00,profile4,a/c4,EURAUD=X,28.4,17.5,6.9,36.1,51.0,39.6,NO_SLOT_MAX_OPEN
2026-09-17T14:50:26.709055+00:00,profile4,a/c4,GBPUSD=X,51.5,81.3,0.0,29.5,49.6,36.5,NO_CONSENSUS
2026-09-17T14:50:27.084644+00:00,profile4,a/c4,EURAUD=X,28.9,17.3,14.7,27.8,50.4,44.1,NO_CONSENSUS
2026-09-17T14:50:27.397113+00:00,profile4,a/c4,NZDJPY=X,24.9,7.4,0.2,38.6,52.8,48.9,NO_CONSENSUS
2026-09-17T14:50:27.773694+00:00,profile4,a/c4,NZDJPY=X,24.9,7.4,0.2,38.6,52.8,48.9,NO_CONSENSUS
2026-09-17T15:14:07.865537+00:00,profile4,a/c4,GBPUSD=X,55.8,81.3,0.0,26.9,50.0,35.0,NO_CONSENSUS
2026-09-17T15:14:08.159912+00:00,profile4,a/c4,EURAUD=X,26.2,17.5,5.0,28.8,50.0,43.5,BELOW_SCORE_THRESHOLD
