timestamp,profile,account,pair,score_final,score_s,score_r,score_a,score_x,score_m,action_taken
2026-09-17T09:11:34.273221+00:00,profile3,a/c3,EURUSD=X,66.7,88.2,19.6,100.0,50.0,35.2,PASS_GATE
2026-09-17T09:11:35.002463+00:00,profile3,a/c3,AUDJPY=X,43.0,28.5,0.0,98.1,57.2,55.1,PASS_GATE
2026-09-17T09:11:35.686847+00:00,profile3,a/c3,GBPNZD=X,32.6,22.3,0.0,61.0,50.0,45.1,PASS_GATE
2026-09-17T09:13:46.926432+00:00,profile3,a/c3,EURUSD=X,,,,,,,POSITION_ALREADY_OPEN
2026-09-17T09:13:46.927120+00:00,profile3,a/c3,AUDJPY=X,,,,,,,POSITION_ALREADY_OPEN
2026-09-17T09:13:46.927589+00:00,profile3,a/c3,GBPNZD=X,,,,,,,POSITION_ALREADY_OPEN
2026-09-17T09:16:11.759475+00:00,profile3,a/c3,EURUSD=X,,,,,,,POSITION_ALREADY_OPEN
2026-09-17T09:16:11.765066+00:00,profile3,a/c3,AUDJPY=X,,,,,,,POSITION_ALREADY_OPEN
2026-09-17T09:16:11.766216+00:00,profile3,a/c3,GBPNZD=X,,,,,,,POSITION_ALREADY_OPEN
2026-09-17T09:20:56.201767+00:00,profile3,a/c3,EURUSD=X,,,,,,,POSITION_ALREADY_OPEN
2026-09-17T09:20:56.203048+00:00,profile3,a/c3,AUDJPY=X,,,,,,,POSITION_ALREADY_OPEN
2026-09-17T09:20:56.203811+00:00,profile3,a/c3,GBPNZD=X,,,,,,,POSITION_ALREADY_OPEN
2026-09-17T13:06:33.196040+00:00,profile3,a/c3,GBPUSD=X,52.3,79.6,0.0,50.9,45.5,37.4,NO_CONSENSUS
2026-09-17T13:06:33.696744+00:00,profile3,a/c3,EURAUD=X,29.4,17.5,9.3,48.1,49.6,39.0,NO_CONSENSUS
2026-09-17T15:08:16.728407+00:00,profile3,a/c3,GBPUSD=X,51.5,81.3,0.0,36.0,50.0,35.8,NO_CONSENSUS
2026-09-17T15:08:17.039800+00:00,profile3,a/c3,EURAUD=X,30.0,17.5,19.1,37.2,51.8,42.6,NO_CONSENSUS
